,period,period_time,event,team,description,player_one,player_two,event_type,x_cord,y_cord,empty_net,pit_score,sjs_score,shot_attempt
41,1,6:38,shot,San Jose Sharks,Matt Nieto Slap Shot saved by Matthew Murray,Matt Nieto,NA,slap_shot,69,17,NA,0,0,1
42,1,6:51,stoppage,NA,Icing,NA,NA,NA,NA,NA,NA,0,0,0
43,1,6:51,faceoff,San Jose Sharks,Nick Spaling faceoff won against Sidney Crosby,Nick Spaling,Sidney Crosby,NA,69,-22,NA,0,0,0
44,1,7:08,hit,San Jose Sharks,Nick Spaling hit Patric Hornqvist,Nick Spaling,Patric Hornqvist,NA,7,40,NA,0,0,0
45,1,7:12,missed_shot,Pittsburgh Penguins,Sidney Crosby - Over Net,Sidney Crosby,NA,NA,49,0,NA,0,0,1
46,1,7:19,giveaway,San Jose Sharks,Giveaway by Marc-Edouard Vlasic,Marc-Edouard Vlasic,NA,NA,96,19,NA,0,0,0
47,1,7:41,giveaway,Pittsburgh Penguins,Giveaway by Conor Sheary,Conor Sheary,NA,NA,95,18,NA,0,0,0
48,1,7:45,giveaway,San Jose Sharks,Giveaway by Justin Braun,Justin Braun,NA,NA,80,12,NA,0,0,0
49,1,7:50,penalty,San Jose Sharks,Dainius Zubrus Tripping against Brian Dumoulin,Dainius Zubrus,Brian Dumoulin,tripping,44,36,NA,0,0,0
50,1,7:50,faceoff,Pittsburgh Penguins,Nick Bonino faceoff won against Chris Tierney,Nick Bonino,Chris Tierney,NA,69,22,NA,0,0,0
51,1,8:11,hit,San Jose Sharks,Brent Burns hit Conor Sheary,Brent Burns,Conor Sheary,NA,85,-40,NA,0,0,0
52,1,8:16,goal,Pittsburgh Penguins,"Brian Dumoulin (2) Slap Shot, assists: Justin Schultz (4), Chris Kunitz (8)",Brian Dumoulin,NA,slap_shot,35,-13,FALSE,1,0,1
53,1,8:16,faceoff,Pittsburgh Penguins,Matt Cullen faceoff won against Logan Couture,Matt Cullen,Logan Couture,NA,0,0,NA,1,0,0
54,1,8:23,stoppage,NA,Offside,NA,NA,NA,NA,NA,NA,1,0,0
55,1,8:23,faceoff,San Jose Sharks,Logan Couture faceoff won against Matt Cullen,Logan Couture,Matt Cullen,NA,20,-22,NA,1,0,0
56,1,8:34,hit,Pittsburgh Penguins,Olli Maatta hit Melker Karlsson,Olli Maatta,Melker Karlsson,NA,97,2,NA,1,0,0
57,1,8:37,stoppage,NA,Referee or Linesman,NA,NA,NA,NA,NA,NA,1,0,0
58,1,8:37,faceoff,San Jose Sharks,Joe Pavelski faceoff won against Evgeni Malkin,Joe Pavelski,Evgeni Malkin,NA,20,-22,NA,1,0,0
59,1,8:52,takeaway,San Jose Sharks,Takeaway by Joe Thornton,Joe Thornton,NA,NA,97,-16,NA,1,0,0
60,1,9:09,blocked_shot,San Jose Sharks,Roman Polak blocked shot from Chris Kunitz,Chris Kunitz,Roman Polak,NA,65,0,NA,1,0,1
61,1,9:33,giveaway,Pittsburgh Penguins,Giveaway by Ian Cole,Ian Cole,NA,NA,97,-5,NA,1,0,0
62,1,9:49,blocked_shot,Pittsburgh Penguins,Justin Schultz blocked shot from Joel Ward,Joel Ward,Justin Schultz,NA,69,-14,NA,1,0,1
63,1,9:55,blocked_shot,Pittsburgh Penguins,Patric Hornqvist blocked shot from Joel Ward,Joel Ward,Patric Hornqvist,NA,69,-10,NA,1,0,1
64,1,10:09,giveaway,Pittsburgh Penguins,Giveaway by Conor Sheary,Conor Sheary,NA,NA,32,-26,NA,1,0,0
65,1,10:25,giveaway,Pittsburgh Penguins,Giveaway by Ben Lovejoy,Ben Lovejoy,NA,NA,5,38,NA,1,0,0
66,1,11:11,hit,San Jose Sharks,Patrick Marleau hit Brian Dumoulin,Patrick Marleau,Brian Dumoulin,NA,83,-39,NA,1,0,0
